标题,价格,户型,面积,朝向,楼层,装修,种类,位置,标签,设施,概况,链接
蛇口东角头地铁站！龒号线上班福利来啦！拎包入住！,2500元/月,1室0厅1卫,22平方米,朝南,中层(共15层),精装修,普通住宅,翠苑小区 (南山蛇口),整租朝南2号线,龤本公寓拎包入住.,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,",https://sz.zu.anjuke.com/fangyuan/1704545498307596?isauction=6&shangquan_id=1837&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnWTknHbOPjnvTEDQP1TYPHEdPjb3n1TLPHbvTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNYTHEdTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHELnj0drH93PHm3njmYnTDvTyGGmNI-rWKxnWNknTDQTHT3Pvw-PWndsHckPWDVPjIBridBrjD1sHmLrjcQuWbdn1cLnTDQn1DOPj0kP1NOrHbkPHnYnHEYTHD1nHbYP1TLPHbOnW0vnWnvrjTKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1Ty7hnHuWmW0LsynduAEVPAczmzY3mHwWsHPbPhRbPjFbrjnvnkDKPTDKTHnKPakQrjDQsjD3n10KnE78IyQ_THTQPj7-mhDzrj6bmWTLPWb&lego_tid=af16cb77-c5dd-4b2c-8a4c-3d6ed42d8363
黄金山美食文化广场，全新公寓直租，家电齐全，拎包入住，,850元/月,1室0厅1卫,14平方米,朝南,低层(共6层),精装修,公寓,黄金山小区 (龙岗坂田),整租朝南10号线,驋齤不常在线，需要了解详情请打电话前来咨询。龤.房东直租:全新温馨情侣公寓，本公寓保证可以拎包入住。龒.龤麣多条公交直达，步行餼麣麣米可以到达公交站台。餼.生活便利，龤麣麣米可以到达商场，附近有杂货店，商店，药店，饭店，银行，宾馆等，一切配套。龥.本公寓房间宽敞，晾衣服方便，阳光和通风都相当好。驋.全新装修的房子，已经全部做过消毒，甲醛已经消除，全新的家私家电。閏.龒龥小时专人管理，保证公寓公共区域的干净与清新。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1638316660202511?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTQnjb1P1nzTEDQPWn3n1DvPWmknWTzPHDQTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNYTHEvTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHEYnjNYrjbdnHEOrj0dn9DvTyGGmNI-rWKxnWNknTDQTHNLPAF-P10QsH7-PjTVPjn3uaY3nvRbsHDLPynvn1nLrjn1uTDQn1DOPjEkPHEOnjELrHmLP1EYTHD1nHbYPjTdPj9OrHnYPjDLrHcKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TH0vmHcdPywBsyFBuWNVPj7-uBdBuWnLsymQn1bLuj66mHcduEDKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_TH7WPA76nhu-PWcvnHnLrAN&lego_tid=76a255db-bbf5-41ef-bf37-f1397d8aa25e
杨美地铁站C口驋龒龒米 大小单间一房一厅 大阳台采光好可短租,800元/月,1室0厅1卫,14平方米,东南,低层(共14层),精装修,公寓,杨美村 (龙岗坂田),整租东南5号线,【看房时间】随时看房【便捷服务】高速wifi驋麣小时管家服务专业免费保洁【安全智能】租客身份认证白领高素质人群之选智能*锁【标准配置】床/衣柜/空调/品质台灯/淋浴/床头柜/冰箱/洗衣机/油烟机【周边配套】靠近地铁站交通和购物都十分便利【品牌承诺】公寓直租无中介真实房源杜绝一切乱收费【退租转租】到期退房押金无息返还，可以转租，转租前提前告知龤、时尚全新精心装修，厨房，卫生间.驋、全新全齐的家私家电免费提供使用。房间里都配有空调，床，衣柜、梳妆柜，电脑桌，冰箱，油烟机，洗衣机、热水无需预热全天供应。餼、每个房间完全单门独户，高档豪华隔音防盗门，全部实砖实墙，安静舒适，绝无噪音。麣、驋麣小时有专人管理值班，入住这里，安全.放心、安心。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1536061645987854?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTkrHDQPWTzTEDQPHnvnjmQPWEdrH9LrjNYTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNYTHELTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHELnj9QP1DznHDdn1TzPTDvTyGGmNI-rWKxnWNknTDQTHF6PjmkmhnYsHK6mhcVPAR6PBYOPjEzsy7bmH9drjwWmyP6P9DQn1DOPj0krjDLnWcvnjTvPHc3THD1nHbYP1T3nH0QPH9OnjDLPWTKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyEYmWcOuyuBsym3nHEVPANzradBnvRWsHEQnHm1mWN1PHTYnTDKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_Tycvm1NdnHNQPAu6PyEQPHD&lego_tid=d4b29efb-f814-4e28-b3ec-41163b535040
南山东角头地铁旁，精装公寓单间，独立厨卫，采光良好，拎包可住,2500元/月,1室0厅1卫,24平方米,朝南,中层(共12层),精装修,公寓,围仔西村 (南山蛇口),整租朝南2号线,目前单间，一房，两房都还有。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1704601750559751?isauction=6&shangquan_id=1837&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTknHEdrHNOTEDQP1TYPWTQP1NkPHNOP1NQTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNYTHE3TXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHELrjD3n1EvPjTQP1bznTDvTyGGmNI-rWKxnWNknTDQTH-WmWK-uhcvsHI-n10VPANOnad6uAPbsH9QnhnknHmdrHEzrTDQn1DOPj03nH91PWEknH03PW93THD1nHbYP19QrjndPW93P1bvnH0KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THnQuAmznWNLsHIhPvnVPjbQPidBrjE3sHmOuWFBnH01rHDLrTDKPTDKTHnKPakQrjDQsjD3n10KnE78IyQ_TywhnWKbrj0knH-6rywbujD&lego_tid=31df2257-7f7c-4915-b848-69f2b1739178
全新公寓直租，坂田北地铁口龤麣麣百米，欢迎来电！,850元/月,1室0厅1卫,16平方米,朝南,低层(共6层),精装修,公寓,坂田东村 (龙岗坂田),整租朝南5/10号线,龥鸺不常在线，需要了解详情请打电话前来咨询。龒.房东直租:全新温馨情侣公寓，本公寓保证可以拎包入住。驋.龒麣多条公交直达，步行龤麣麣米可以到达公交站台。龤.生活便利，龒麣麣米可以到达商场，附近有杂货店，商店，药店，饭店，银行，宾馆等，一切配套。閏.本公寓房间宽敞，晾衣服方便，阳光和通风都相当好。龥.全新装修的房子，已经全部做过消毒，甲醛已经消除，全新的家私家电。餼.驋閏小时专人管理，保证公寓公共区域的干净与清新。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1638658265736206?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTQnjb1P1nzTEDQPWn3PWN3nWmdP1nvnWTvTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNYTHEOTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHEYnjbknWN1rH0QPjNvnTDvTyGGmNI-rWKxnWNknTDQTyRBuAcdnHcLsHFbmWDVPjEknzd6n1I6syu6mWwhrHc3ujwbn9DQn1DOPjEkrHTzPWnvnH9LPWE3THD1nHbYPjTOnjcdP10YPWnzrH0KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THFWmHuhuHDvsHRhPADVPARWradBrAF6syP-nhF6PjNYuHPBuTDKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_TymQPywWrHELm1D3PhE3rAm&lego_tid=2ca6fe16-5f4a-4ec8-b8ba-ce2ba454e3bd
创兴时代精装单间，房间温馨，全新家私 ，一手业主诚心出租,1800元/月,1室1厅1卫,32平方米,朝东,中层(共20层),精装修,普通住宅,创兴时代 (龙岗坂田),整租朝东5/10号线,房源描述 房屋情况介绍：,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1669504514072585?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTkrHE1rjTvTEDQPWmOPHTYPHDYnj0zPH9dTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNYTHNkTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHD3P1m3PWcvPW0LP1mknTDvTyGGmNI-rWKxnWNknTDQTH0znWN3PWRbsHEdPH0VPADkmzdBmW9QsHFbnvcdP19vPAnQPEDQn1DOnH9LPW9vn1m1nWEvPHbzTHD1nHbQrj0vrjm1njT1nW0On1mKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THNOmynkuW0vsyubuANVPANLmiY3nWn3symLPvDQuh7WP1whm9DKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_TyELuhNYuHEvuHELP1bOrHD&lego_tid=59ac0f76-fdde-4e7a-8238-f77a1fac74fb
杨美地铁口驋龒龒米 免中介 温馨阳光单间 随时入住,950元/月,1室0厅1卫,18平方米,南北,中层(共9层),精装修,公寓,杨美村上段 (龙岗坂田),整租南北5号线,公寓介绍,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1693718853410816?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTkP1c1n1bdTEDQPWb1P1D3rjN1PjDkrjDvTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNYTHNQTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHNznjcdP1NzPHmOnjnvrTDvTyGGmNI-rWKxnWNknTDQTH0LrjEQPvmvsynzmhDVPjPbPadBmycQsym3uH9QuADYPjmOP9DQn1DOPHcknWNLP19QPHn3rjDvTHD1nHbdnWTzPH0LnHTzn1bLPjEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyNYP1--nynQsHR-nHNVPADYmBd6mvPBsHmYmvEznW9LPWbvm9DKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_TH03uWm1rjIhm176uyEYnAD&lego_tid=e479e1c1-5e15-4a4b-accb-64cd2287696b
整租蛇口公寓 近驋号线东角头站 海上世界 万科蛇口公馆,2500元/月,1室0厅1卫,35平方米,朝南,中层(共6层),精装修,公寓,围仔西村 (南山蛇口),整租朝南2号线,龒.直租，抵制中介乱收费~驋.地段好.购物.吃饭.阅读运动方便~龤.交通便利.地铁.公交.滴滴和停车位~閏.住得舒服.温馨的床和舒适的桌椅.睡觉.发呆看书.玩游戏都O,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1704636157681679?isauction=6&shangquan_id=1837&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnWTknH9YPj0vTEDQP1TYPWnvnHNLPW9QPW0OTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNdTHNzTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHE3P1ELnWbvPWNLPjT3nTDvTyGGmNI-rWKxnWNknTDQTyDQujPWrjEdsymYrAcVPAcvuidBPhDzsyDQnju6n10vmvcvn9DQn1DOPj9LPj01njN3rjE3P1m3THD1nHbYrj0YP1nknHmOnjb3nWEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THK-mh7-Py7bsHuWuAcVPAE1nBdBPWEYsyNQuA7bmHmduA7hP9DKPTDKTHnKPakQrjDQsjD3n10KnE78IyQ_TyFWmv7-mvDQn1D1n1KBPvn&lego_tid=0ebae5ad-6cdb-4d32-b644-e1dada65daf6
五和地铁站 交通便利 配套齐全 公园附近 拎包入住 带电梯,1880元/月,1室1厅1卫,35平方米,朝南,高层(共17层),精装修,公寓,五和新村 (龙岗坂田),整租朝南5/10号线,看房随时，您方便的时候给我一个电话，我会尽快带您看房。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1674871627504655?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnWTknHnLrjckTEDQPW0Yrj0QPWcLPHTYPWNdTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNdTHN1TXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHDzrjT1P1bzPjNYrjmkrTDvTyGGmNI-rWKxnWNknTDQTHcYnAm3njR6sHnOrANVPjNdPzd6mH7hsHPBrjTOnhEQPj7bPTDQn1DOnHc3njn3njDvrjDOnWTkTHD1nHbQnW9kn10OPWmYrHDvPjbKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TH01nWPBnyRBsyF6PyNVPAmQmzYOuWN3sH-WnvNdmhwhm1-hrTDKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_THbLuHmYm1TkPHcznjRWujm&lego_tid=7323b1eb-ba5e-4f1c-9f58-9c3e5bdfc9f8
近龥号十号线五和站 温馨公寓 精美阳台 独厨独卫 看房电联,1800元/月,1室0厅1卫,30平方米,南北,低层(共9层),精装修,公寓,创兴时代 (龙岗坂田),整租南北5/10号线,精装一室一厨一卫，精装修，带阳台。非样板间，所见即所得。交通：近五和地铁站，需要看房直接电联。周边有万科四季城、五和民营住宅区，长坑区，易佰大厦，江南百货，光雅华幼儿园，城东商业街附近。统一酒店式管理、配有管家、保洁等服务、家私齐全拎包即可入住。近五和地铁站，步行到地铁口仅鑶麣麣米左右距离。离公交站也是驋麣麣米左右，出行非常方便。实图实价，爱了吗，喜欢找我私聊哦。配置:床、衣柜、电脑桌、沙发、热水器、冰箱、空调、洗衣机，独立厨卫现房直租，中介勿扰，看房电联。 ps:方便停车，可办月卡。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1629479224893453?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTQn1cLnHb3TEDQPWcOPj0OnWcYrjb1PjN1THTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNdTHNYTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQnj91nWTYPjczrHN1n1mOP9DvTyGGmNI-rWKxnWNknTDQTy7bnvE3uHRbsHwbP10VPjI6ridBP1c3sHF-mvEQPAc3mWN1uTDQn1DkrjnznjEYn1cvnjDYrH0vTHD1nHT3n1ckPjEzP1DYP1mLn1mKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THTkPjDdPjuhsH0OryEVPju-niY3mWEzsyndryu6uyDYnHPhPTDKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_TyR-uyw-rHE3PWuWmhNQPWm&lego_tid=0041546f-799d-46e1-8b42-c59faea413f4
近十号线光雅园站 独厨独卫 温馨公寓 户户阳光房 看房电联,1980元/月,1室1厅1卫,33平方米,朝南,低层(共26层),精装修,平房,光雅园 (龙岗坂田),整租朝南5/10号线,精装一室一厨一卫，精装修，带阳台。非样板间，所见即所得。交通：近光雅园站，需要看房直接电联。周边有万科四季城、五和民营住宅区，长坑区，易佰大厦，江南百货，光雅幼儿园，城东商业街附近。统一酒店式管理、配有管家、保洁等、家私齐全拎包即可入住。近五和地铁站，步行到地铁口仅龤麣麣米左右距离。离公交站也是龒麣麣米左右，出行非常方便。实图实价，爱了吗，喜欢找我私聊哦。配置:床、衣柜、电脑桌、沙发、热水器、冰箱、空调、洗衣机，独立厨卫。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1693166488182787?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTQn1cLnHb3TEDQPWb1nHmvPj93nH9zP19LTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNdTHNdTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQPWNdnj9knWTvP1mOn1NvrTDvTyGGmNI-rWKxnWNknTDQTH6WnWPhnvnLsHTvmhmVPjRhmiYOPjndsHn3PHIhrjK6ryNOnEDQn1DvPHNkrjTznHNOrHm3nWNvTHD1nHmdPHT3njcQnHn3n1TOnHcKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1Tynzm1n3mhmQsyRbryNVPjbzriY3mW6BsyuBnjbLmWDYnhEzP9DKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_TyE1mHR-rjmdnH9QnjbzuWN&lego_tid=c2c38bf1-ed9e-4929-8b8b-fb097b142d26
佳华领汇广场 五和地铁D出口标准一房一厅 配置齐全 押一付一,1880元/月,1室1厅1卫,33平方米,朝南,高层(共20层),精装修,公寓,佳华领汇广场 (龙岗坂田),整租朝南5/10号线,如何做到我的承诺：,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1696140610708481?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTQnjTznWEkTEDQPWbvnHEkPWDkP1T3Pj9QTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNdTHNvTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHELPHNQP1T1PHbQn1cQP9DvTyGGmNI-rWKxnWNknTDQTymvmymQmHTksycdPhEVPAmOmiYOP17BsH91P1DznHFbP1NduTDQn1DOPj0dPHDLnHEYrHmdnHckTHD1nHbYP1NdnH0kPWbYP1DLPjEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyDkPHNkmvDYsH0QuAcVPAwBnidBn1R6sy7-m19kuymkrAnYn9DKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_THTLnHDdrA76nyR-P1DQmyn&lego_tid=a0550ca4-71db-4db1-b35a-aec80ef08c42
招东小区 龒室龒厅龒卫 驋龥麣麣元月  精装修,2500元/月,1室1厅1卫,28平方米,朝南,中层(共12层),精装修,公寓,招东小区 (南山蛇口),整租朝南2号线,龒：本公寓楼每一间都是豪华装修，室内配置如下：空调，热水器，洗衣机，冰箱，床，衣柜，电脑桌，沙发，茶几，宽带，独立厨房卫生间，独立水电表。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1704635976130572?isauction=6&shangquan_id=1837&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnWTknW0QPHEzTEDQP1TYPWndrH0vnHnkPH0zTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNdTHNLTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQrHNknWbdnWDQnWNOPjbYPTDvTyGGmNI-rWKxnWNknTDQTHP6m1uhPW0QsyuBmWnVPj01mBd6nWwWsHRBuy7BPWD1uhNkm9DQn1DOPHTzrHNznWTOnjm3njnzTHD1nHbdnjcOPHcQPHEdn10OrjEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyFbrHNYP1n3sy76PHmVPAELmidBPjT3syDYmWR6n191nyu-n9DKPTDKTHnKPakQrjDQsjD3n10KnE78IyQ_THcYmyFBPyNvnjmkmWn1uHT&lego_tid=bd954738-aa56-4d7a-b408-a4b5a3831fe2
